price,area,bedrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
1.0,0.499426,1.0,0.5,1,0,1,0,0,1.0,0,1
0.952381,0.306544,0.666667,0.5,1,0,1,1,0,1.0,0,1
0.938095,0.734788,0.666667,0.0,1,1,1,0,1,0.5,0,0
0.904762,0.829506,0.666667,0.0,1,0,0,0,0,0.5,0,1
0.833333,0.562572,0.666667,0.5,1,0,1,0,1,0.0,1,0
0.761905,0.499426,0.666667,0.5,1,0,0,0,1,0.5,0,2
0.72381,0.83008,0.333333,0.0,1,0,0,0,1,0.5,0,1
0.695238,0.499426,0.666667,0.0,1,0,0,0,1,0.5,0,0
0.666667,0.274397,0.666667,0.5,1,0,1,1,0,0.5,0,0
0.666667,0.464983,0.666667,0.0,1,1,1,0,1,1.0,1,0
0.66381,0.499426,0.666667,0.5,1,0,0,1,0,0.5,1,1
0.647619,0.24225,0.666667,0.5,1,0,0,1,0,1.0,0,1
0.647619,0.576349,0.666667,1.0,1,0,1,0,0,0.0,1,2
0.642857,0.265212,0.666667,0.0,1,0,1,0,0,1.0,0,1
0.642857,0.661309,0.666667,0.0,1,1,1,0,1,1.0,1,2
0.638095,0.384615,0.666667,0.5,1,0,0,0,1,0.0,0,1
0.635238,0.585534,0.333333,0.0,1,1,1,0,0,1.0,1,0
0.619048,0.843858,0.666667,0.0,1,0,1,0,0,0.5,1,0
0.619048,0.54535,0.666667,0.0,1,1,1,0,1,0.5,1,1
0.614286,0.499426,1.0,1.0,1,1,1,0,0,0.0,1,2
0.609524,0.442021,0.666667,1.0,1,0,0,0,0,0.5,1,2
0.595238,0.547646,0.666667,1.0,1,0,1,0,0,0.0,1,2
0.592857,0.182549,1.0,1.0,1,0,0,0,0,0.5,0,1
0.590476,0.568312,0.666667,0.0,1,1,1,0,0,1.0,1,1
0.590476,0.771757,0.666667,1.0,1,0,0,0,1,1.0,0,2
0.589524,0.91504,0.666667,0.0,1,0,1,0,0,1.0,1,0
0.580952,0.591274,0.333333,0.0,1,1,1,0,0,1.0,0,0
0.580952,0.729047,0.666667,0.0,1,1,1,0,1,1.0,1,1
0.571429,0.235362,1.0,0.5,1,1,0,0,1,0.0,0,0
0.571429,0.547646,0.666667,0.0,1,0,1,0,1,0.0,1,0
0.571429,0.616533,0.666667,0.0,1,0,1,0,1,1.0,1,1
0.571429,0.561424,0.666667,0.0,1,1,1,0,0,1.0,1,0
0.571429,0.640758,0.666667,0.5,1,1,1,0,1,0.0,1,1
0.561905,0.632606,0.666667,0.0,1,0,1,0,0,1.0,1,2
0.560952,0.442021,0.666667,1.0,1,1,0,0,1,0.5,0,0
0.56,0.361653,0.666667,0.0,1,1,1,0,0,0.0,0,2
0.552381,0.407577,0.666667,1.0,1,0,0,0,1,0.0,0,1
0.552381,0.361653,0.666667,1.0,1,0,0,0,1,0.0,0,2
0.551429,0.614237,0.666667,0.0,1,0,1,0,0,1.0,1,1
0.542857,0.343284,1.0,0.5,1,0,0,0,0,0.5,0,1
0.542857,0.384615,0.666667,1.0,1,0,0,0,1,0.0,0,1
0.542857,0.540758,0.666667,0.0,1,1,1,0,1,1.0,1,0
0.52381,0.350172,1.0,0.5,1,1,1,0,1,0.5,0,0
0.52381,0.540758,0.666667,1.0,1,0,0,0,0,0.0,1,1
0.52381,0.40023,0.666667,0.5,1,1,1,0,1,0.0,1,2
0.519048,0.315729,1.0,0.5,1,0,0,0,1,1.0,1,1
0.513333,0.602755,0.666667,0.0,1,1,1,0,0,0.0,1,1
0.509524,0.726751,0.666667,0.0,1,0,0,0,0,1.0,0,1
0.504762,0.510907,0.666667,1.0,1,1,0,0,1,0.0,1,1
0.5,0.594145,0.666667,0.0,1,1,1,0,1,0.0,1,1
0.485714,0.706085,0.666667,0.0,1,0,1,0,1,1.0,1,2
0.47619,0.299656,1.0,0.5,1,0,1,0,1,0.0,0,0
0.47619,0.989552,0.666667,0.0,1,0,0,0,0,0.5,1,1
0.47619,0.774971,0.666667,0.5,1,1,1,0,1,1.0,1,2
0.47619,0.246843,0.666667,0.5,1,1,1,0,0,0.5,1,2
0.47619,0.788749,0.666667,0.0,1,0,0,0,1,1.0,0,0
0.475238,0.505166,0.666667,0.0,1,0,1,0,0,0.0,1,1
0.473333,0.623995,0.666667,0.0,1,1,1,0,0,1.0,1,1
0.471429,0.637199,0.666667,0.5,1,1,1,0,0,0.5,1,0
0.461905,0.202067,0.666667,0.5,0,0,0,0,1,0.0,0,1
0.461905,0.726751,0.666667,0.0,1,0,0,0,0,0.5,1,1
0.457143,0.154994,0.666667,0.5,1,0,1,0,0,0.0,0,2
0.457143,0.510907,0.666667,0.0,1,0,1,0,1,0.0,1,1
0.452381,0.467279,0.333333,0.5,1,0,0,0,1,0.0,1,2
0.447619,0.216992,0.333333,0.0,0,1,1,0,0,0.0,0,1
0.447619,0.683123,1.0,0.5,1,0,0,0,1,1.0,0,0
