x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
0.414339,0.514429,0.294976,0.649644,0.471396,0.41989,0.762544,0.448171,0.785803,0.429499,0.560847,0.133284,0.759104,0.2945,0.567456,0.48227
0.498124,0.6399,0.272285,0.469942,0.435927,0.506906,0.702473,0.389228,0.361146,0.369912,0.162257,0.600894,0.742997,0.504547,0.554068,0.507092
0.421009,0.416562,0.245543,0.679379,0.385584,0.404696,0.065018,0.671748,0.200498,0.438938,0.037037,0.864483,0.660364,0.501949,0.661174,0.361702
0.25594,0.823087,0.526742,0.653523,0.927918,0.777624,0.233922,0.134146,0.318804,0.819469,0.499118,0.396128,0.161064,0.581637,0.140062,0.507092
0.666528,0.40527,0.508914,0.242405,0.445652,0.437845,0.702473,0.682927,1.0,0.573451,0.834215,0.43857,0.22549,0.398441,0.291452,0.457447
0.585244,0.311167,0.209887,0.340659,0.276316,0.520718,0.458657,0.78252,0.292653,0.414749,0.694885,0.703649,0.512605,0.640104,0.492276,0.528369
0.519383,0.663739,0.52269,0.314803,0.487414,0.812155,0.775972,0.103659,0.899128,0.557522,0.402116,0.713328,0.441176,0.583803,0.440783,0.741135
1.0,0.396487,0.530794,0.302521,0.50286,0.582873,0.435336,0.579268,0.496887,0.497345,0.578483,0.38347,0.136555,0.528367,0.446962,0.634752
0.850354,0.351317,0.612642,0.723982,0.52746,0.364641,0.283392,0.573171,0.56787,0.437168,0.358025,0.369322,0.215686,0.779125,0.392379,0.719858
0.854523,0.518193,0.277147,0.385262,0.0,0.595304,0.65583,0.424797,0.551681,0.258997,0.414462,0.685778,0.418768,0.728887,0.800206,0.687943
0.180075,0.65872,0.04295,0.545572,0.685355,0.335635,0.389399,0.659553,0.60274,0.663717,0.82716,0.075949,0.531513,0.221741,0.269825,0.12766
0.466028,0.580928,0.480551,0.458953,0.394737,0.359116,0.642403,0.487805,0.280199,0.315044,0.522046,0.327625,0.558123,0.471633,0.394439,0.269504
0.556899,0.324969,0.574554,0.80543,0.352975,0.214088,0.699647,0.506098,0.753425,0.585841,0.379189,0.232316,0.570728,0.262451,0.321318,0.485816
0.395998,0.619824,0.169368,0.241112,0.553204,0.457182,0.826855,0.456301,0.714819,0.477876,0.846561,0.997766,0.621849,0.28194,0.557158,0.542553
0.324302,0.449184,0.141005,0.0,0.977117,0.428177,0.840283,0.760163,0.738481,0.60118,0.940035,0.56962,0.292017,0.357298,0.403708,0.521277
0.437266,0.450439,0.550243,0.646412,0.213387,0.383978,0.417668,0.571138,0.566625,0.475516,0.432099,0.350707,0.653361,0.508878,0.365602,0.351064
0.345977,0.582183,0.584279,0.343891,0.340961,0.457182,0.499647,0.360772,0.286426,0.1941,1.0,0.38347,0.75,0.572975,0.609681,0.280142
0.452272,0.617315,0.547002,0.463478,0.582952,0.491713,0.493993,0.139228,0.572852,0.587021,0.603175,0.310499,0.32423,0.281507,0.263646,0.326241
