test group,converted,total ads,most ads day,most ads hour
0,False,0.333333,5,0.772727
0,False,0.266667,3,0.772727
0,False,0.333333,5,0.818182
0,False,0.766667,6,0.545455
0,False,1.0,5,0.863636
0,False,0.65,0,0.545455
0,False,0.316667,5,0.818182
0,True,0.133333,6,0.772727
0,False,0.416667,6,0.454545
0,False,0.766667,2,0.909091
0,False,0.75,5,0.863636
0,False,0.033333,5,0.818182
0,False,0.383333,4,0.681818
0,False,0.8,5,0.818182
1,False,0.433333,4,0.318182
0,False,0.733333,6,0.545455
0,False,0.75,4,0.909091
0,False,0.5,4,0.5
0,False,0.916667,4,0.409091
0,False,0.733333,3,0.454545
0,False,0.216667,3,0.863636
0,False,0.133333,5,0.818182
0,False,0.033333,5,0.818182
1,False,0.2,5,0.818182
0,False,0.383333,5,0.818182
0,False,0.6,3,0.545455
0,False,0.383333,5,0.818182
0,False,0.3,5,0.818182
0,False,0.3,6,0.818182
0,False,0.283333,5,0.818182
0,False,0.983333,6,0.545455
0,False,0.35,5,0.818182
0,False,0.666667,5,1.0
0,False,0.933333,6,0.5
0,False,0.5,5,0.818182
0,False,0.45,5,0.863636
0,False,0.133333,5,0.818182
0,False,0.2,1,0.227273
0,False,0.65,5,0.818182
0,False,0.866667,5,0.818182
0,False,0.7,5,0.909091
0,False,0.533333,5,0.818182
0,False,0.1,5,0.863636
0,False,0.083333,5,0.818182
0,False,0.766667,6,0.0
0,False,0.433333,5,0.863636
0,False,0.55,5,0.818182
0,False,0.3,5,0.818182
0,False,0.133333,5,0.5
0,False,0.316667,5,0.909091
0,False,0.216667,5,0.954545
1,False,0.516667,6,0.818182
0,False,0.716667,0,0.409091
0,False,0.6,4,0.954545
0,False,0.633333,2,0.727273
0,False,0.416667,5,0.863636
0,False,0.483333,5,0.818182
0,False,0.966667,1,0.818182
0,False,0.75,0,0.363636
0,False,0.15,6,0.818182
0,False,0.316667,5,0.818182
1,False,0.6,1,0.409091
0,False,0.15,1,0.772727
0,False,0.25,1,0.818182
0,False,0.283333,6,0.681818
0,False,0.55,5,0.818182
0,False,0.583333,6,0.818182
0,False,0.25,6,0.681818
0,False,0.483333,5,0.818182
0,False,0.0,5,0.818182
0,False,0.966667,1,0.454545
0,False,0.333333,4,0.818182
0,False,0.55,5,0.227273
0,False,0.066667,5,0.818182
0,False,0.383333,2,1.0
0,False,0.65,0,0.863636
0,False,0.85,0,0.727273
0,False,0.433333,2,0.454545
0,False,0.433333,5,0.954545
1,False,0.0,5,0.818182
0,False,0.2,5,0.818182
0,False,0.6,2,0.590909
0,False,0.25,5,0.818182
0,False,0.233333,5,0.863636
0,False,0.466667,1,0.772727
0,False,0.116667,3,0.863636
0,False,0.666667,1,0.227273
0,False,0.816667,5,0.818182
0,False,0.483333,5,0.818182
0,False,0.516667,6,0.5
0,False,0.5,5,0.954545
0,False,0.383333,5,0.818182
