Area,City,Restaurant Price,Avg Rating,Total Rating,Food Item,Food Type,Delivery Time,Review
5,0,600,4.2,6198,45,0,1,8
0,7,200,4.7,4865,35,3,3,8
5,1,600,4.7,2095,49,0,3,11
0,6,900,4.0,6639,45,5,3,4
6,6,200,4.7,6926,43,1,0,12
3,4,300,4.5,7088,42,1,1,4
6,1,100,3.0,503,32,0,0,2
5,0,900,5.0,3849,26,5,1,13
6,1,1000,4.2,1132,26,1,3,1
5,2,900,3.0,5820,5,5,3,20
3,2,500,4.7,2541,7,0,1,1
0,2,400,3.0,7358,3,4,3,7
2,4,500,4.7,3878,39,0,1,3
3,7,600,4.2,5280,23,0,0,3
4,2,1000,4.0,2461,22,2,2,24
6,2,600,3.0,5048,15,5,2,12
6,4,300,4.5,5663,16,2,0,7
3,7,700,5.0,8122,0,2,2,18
3,5,700,3.0,9494,5,4,2,7
3,7,900,5.0,7207,44,3,1,15
1,7,100,3.5,9436,25,4,0,25
2,5,400,5.0,805,40,2,1,8
6,4,800,4.0,4137,48,5,0,21
4,4,500,4.5,5071,37,3,2,17
4,6,600,4.0,6505,25,3,0,1
6,5,1000,3.0,187,45,5,3,18
0,3,1000,3.5,1308,41,0,0,1
6,3,900,4.0,4963,48,2,0,22
2,2,400,4.7,730,44,1,1,9
1,0,400,4.5,7950,24,5,0,9
0,1,700,4.2,1419,42,1,0,19
6,6,400,5.0,3600,23,3,2,13
4,7,400,5.0,2997,21,1,0,21
1,6,900,4.5,9078,8,2,2,17
5,0,1000,4.0,1350,47,2,1,17
1,6,100,4.7,9518,5,0,2,12
3,1,400,3.5,6221,44,4,1,21
5,5,1000,4.5,7937,49,0,2,25
5,2,200,4.5,5607,46,4,1,20
3,5,800,4.0,5337,28,0,1,6
2,5,500,5.0,5906,32,1,3,20
3,6,700,4.5,5138,14,1,2,26
0,7,900,5.0,7443,15,4,2,18
0,2,700,3.5,5268,22,0,0,6
3,0,300,4.0,3112,21,5,3,17
5,0,900,4.7,3745,24,3,1,24
5,1,800,4.5,1276,19,2,0,20
4,5,500,3.0,2259,30,2,1,4
2,1,1000,4.7,7585,33,2,3,9
3,5,200,4.0,8925,14,2,3,13
2,1,900,3.0,8243,5,3,3,26
6,3,500,4.0,4116,36,0,1,19
5,4,700,4.5,6296,36,4,3,0
3,5,700,3.5,1407,45,3,0,13
2,1,800,4.0,8506,35,3,3,1
6,2,200,3.0,138,17,4,2,3
6,4,800,4.0,4433,47,4,3,2
5,0,200,5.0,688,46,3,2,0
2,6,500,4.0,8218,49,3,2,6
3,7,400,4.0,1173,20,4,2,8
5,2,100,3.0,6159,46,0,0,8
0,0,800,3.0,6923,14,3,1,17
5,1,600,4.0,910,34,3,1,3
0,7,200,3.5,2431,32,2,3,1
0,4,700,4.0,9395,35,4,2,19
6,5,800,4.2,7017,30,1,1,14
5,0,200,3.0,5447,42,2,3,20
5,1,200,4.7,8558,25,3,3,1
4,1,200,3.0,7549,11,0,3,19
2,1,900,4.2,5089,16,1,3,13
4,7,400,4.0,214,37,0,1,26
3,6,200,5.0,5393,11,4,3,4
0,2,800,3.0,5958,39,3,0,10
3,6,800,4.7,9306,22,4,1,18
4,4,700,4.7,7059,16,2,2,9
2,2,400,3.5,3013,3,1,1,18
5,7,600,4.7,5926,45,2,0,10
5,6,100,4.2,6169,16,1,0,8
2,7,500,3.0,9250,32,1,2,1
4,1,500,4.7,5338,34,2,2,18
5,1,200,4.0,6755,39,5,1,20
2,2,900,4.5,9872,21,0,3,18
4,0,400,3.5,1123,9,5,1,12
4,0,600,4.5,7794,17,2,2,8
6,3,900,4.0,4192,49,5,2,13
3,2,600,4.5,1107,30,5,0,0
2,7,300,3.5,297,48,3,3,9
3,1,500,4.0,8275,28,5,3,18
6,4,500,5.0,5203,46,3,3,17
3,3,300,4.2,6401,42,3,3,11
6,6,900,4.0,369,34,4,2,26
3,5,500,3.0,3469,46,2,1,17
0,0,400,3.0,3268,23,2,1,20
6,5,200,3.5,600,10,3,3,21
4,0,100,5.0,6677,8,4,2,1
